"SMS Notify", "SMS уведомления"
"Enable SMS Notify", "Включить SMS уведомления"
"Select SMS Provider", "Выберите SMS провадера"
"Store Phone Number", "Телефон магазина"
"Message Text", "Текст сообщения"
"Login", "Логин"
"Login for gateway, not for account", "Логин для шлюза, а не для аккаунта"
"Password", "Пароль"
"Password for gateway, not for account", "Пароль для шлюза, а не для аккаунта"
"Sender", "Отправитель"
"You can use %ORDER_ID%, %AMOUNT", "Вы можете использовать %ORDER_ID%, %AMOUNT%"
"New order is placed in your shop. # %ORDER_ID%, amount %AMOUNT% $", "Новый заказ был оформлен в вашем магазине. № %ORDER_ID%, сумма %AMOUNT% $"
"General", "Основные"
"Test by default. You can add new name on esputnik.com.ua", "Test по умолчанию. Вы можете добавить новое имя на сайте esputnik.com.ua"
