"SMS Notify", "SMS сповіщення"
"Enable SMS Notify", "Включити SMS сповіщення"
"Select SMS Provider", "Вибиріть SMS провадера"
"Store Phone Number", "Телефон магазина"
"Message Text", "Текст повідомлення"
"Login", "Логін"
"Login for gateway, not for account", "Логін для шлюзу, а не для аккаунта"
"Password", "Пароль"
"Password for gateway, not for account", "Пароль для шлюзу, а не для аккаунта"
"Sender", "Отправитель"
"You can use %ORDER_ID%, %AMOUNT", "Ви можете використовувати %ORDER_ID%, %AMOUNT%"
"New order is placed in your shop. # %ORDER_ID%, amount %AMOUNT% $", "Новий заказ був у вашому магазині. № %ORDER_ID%, сума %AMOUNT% $"
"General", "Загальні"
"Test by default. You can add new name on esputnik.com.ua", "Test за замовчуванням. Ви можете додати нове iм'я на сайтi esputnik.com.ua"
